index,name,bf_name,similarity
1336,lao danielle,ak daniell,81.81818181818181
1336,d lao,d bao,80.0
1336,d lao,d dao,80.0
1337,arina rodionova,ar rodionova,88.88888888888889
1338,l cabrera,m cabrera,88.88888888888889
1343,j murray,s murray,87.5
1343,j murray,murray,85.71428571428572
1346,alexander gornet,alex gornet,81.4814814814815
1350,holt bradley,t bradley,85.71428571428572
1356,g lopez villasenor,gerardo lopez villaseno,82.92682926829268
1356,g lopez villasenor,gerardo lopez villasen,80.0
1356,gerardo lopez villasenor,gerardo lopez villaseno,97.87234042553192
1356,gerardo lopez villasenor,gerardo lopez villasen,95.65217391304348
1362,dias francisco,d francesco,80.0
1363,alexander rushin,alexandr igoshin,81.25
1370,d shapovalov,shapovalov,90.9090909090909
1376,u blanch,ug blanchet,84.21052631578947
1378,e leshem,leshem,85.71428571428572
1383,alexander sarkissian,alex sarkissian,85.71428571428572
1383,a sarkissian,alex sarkissian,88.88888888888889
1388,daniil medvedev,daniil madvedev,93.33333333333333
1388,d medvedev,medvedev,88.88888888888889
1390,shonigmatjon shofayziyev,shonigmatjon shofayziye,97.87234042553192
1391,d kelly,m kelly,85.71428571428572
1391,d kelly,g skelly,80.0
1392,y kibi,yuya kibi,80.0
1392,y kibi,y ki,80.0
1392,yuuya kibi,yuya kibi,94.73684210526316
1394,n sriram balaji,nsriram balaji,96.55172413793103
1394,n sriram balaji,n siriam balaji,93.33333333333333
1394,n sriram balaji,n s balaji,80.0
1394,sriram balaji n,nsriram balaji,89.65517241379311
1394,sriram balaji n,n siriam balaji,80.0
1405,s halep,halep,83.33333333333334
1407,bianca andreescu,bianca andreeescu,96.96969696969697
1407,bianca andreescu,bianca vanessa andreescu,80.0
1407,b andreescu,bv andreescu,95.65217391304348
1407,b andreescu,b v andreescu,91.66666666666666
1407,b andreescu,s andreescu,90.9090909090909
1408,maria tatjana,m tatjana,81.81818181818181
1408,tatjana maria,t ana maria,83.33333333333334
1410,l arruabarrena,l arruabarrena vecino,80.0
1410,lara arruabarrena,lara arrubarrena vecino,80.0
1412,c bellis,cc bellis,94.11764705882352
1412,catherine bellis,catherine cartan bellis,82.05128205128204
1415,gabriele felline,gabriela felline,93.75
1415,gabriele felline,gabriel vallin,80.0
1416,p cachin,p chien,80.0
1419,alexander lazov,alexandar lazov,93.33333333333333
1419,alexander lazov,aleksandar lazov,83.87096774193549
1427,pruchya isarow,pruchya isaro,96.2962962962963
1446,lorenzo sonego,lor sonego,83.33333333333334
1446,l sonego,lor sonego,88.88888888888889
1447,f coria,f codina,80.0
1447,federico coria,federico contreras,81.25
1453,alexander pavlioutchenkov,alexander pavlioutchenk,95.83333333333334
1470,marc fornell mestres,m fornellmestres,88.88888888888889
1473,r ramanathan,ramanathan,90.9090909090909
1482,aragone jc,aragone,82.35294117647058
1482,jc aragone,aragone,82.35294117647058
1482,j aragone,aragone,87.5
1514,j hagar,j asghar,80.0
1519,jakup gewert,jakub gewert,91.66666666666666
1524,ugo blanchet,ug blanchet,95.65217391304348
1524,u blanchet,ug blanchet,95.23809523809523
1531,benjamin hassan,ben hassan,80.0
